Locus	Num Clones	Num A-mutants	Num C-mutants	Fraction A-mutants	Fraction C-mutants	Mean community fitness	Mean alone fitness	Num clones in yield and growth measurements	BLT_Alone_Rank	BLT_Community_Rank
YBR238C	3	3	0	0.013953488372093	0	1.65089123598094	1.63396462093632	0	0.531730269068899	0.604948472537814
AFT1	3	2	1	0.00930232558139535	0.00552486187845304	2.14169147062801	1.92485567563906	0	0.912753582068379	0.920952971149212
ALR1	3	2	1	0.00930232558139535	0.00552486187845304	1.79659345796264	1.82832775369837	1	0.681538752541732	0.747136725653561
ALT1	3	3	0	0.013953488372093	0	1.69696572721497	1.72859399279414	0	0.627583108715184	0.716220248341711
AMN1	3	2	1	0.00930232558139535	0.00552486187845304	1.7300467195757	1.68240399132094	0	0.604341041282451	0.707085312951869
ARO10	3	3	0	0.013953488372093	0	1.61064919318244	1.76491981174364	0	0.742493025015369	0.624503660859786
AVT1	3	2	1	0.00930232558139535	0.00552486187845304	1.53564737419347	1.726035027379	0	0.682153496949922	0.536734834400606
AVT4	3	2	1	0.00930232558139535	0.00552486187845304	1.84141303744168	1.7037918377503	0	0.613349411264009	0.623631481098947
CCZ1	3	2	1	0.00930232558139535	0.00552486187845304	1.492070382904	1.61601628651381	1	0.50505981935972	0.47306571185935
CDC14	3	2	1	0.00930232558139535	0.00552486187845304	1.78396051440219	1.76547727620511	0	0.734406771646096	0.711859349537515
CRP1	3	3	0	0.013953488372093	0	1.89032103718132	1.74163131970975	0	0.66075566274176	0.826964125869311
CTR9	3	3	0	0.013953488372093	0	1.87893633543596	1.98467585861336	2	0.888660330070459	0.833757947164268
CYC3	3	2	1	0.00930232558139535	0.00552486187845304	1.79455060500815	1.7825329511203	1	0.72085875065021	0.741926599187496
EDC3	3	2	1	0.00930232558139535	0.00552486187845304	1.57437723750073	1.63925147360286	0	0.527308838133069	0.508205375381579
LRG1	3	3	0	0.013953488372093	0	1.64229913106041	1.70555293482319	0	0.649926703551331	0.637081411095045
MGM1	3	2	1	0.00930232558139535	0.00552486187845304	1.79418896592434	1.70867944487481	0	0.64874450276635	0.622323211457688
PET112	3	2	1	0.00930232558139535	0.00552486187845304	1.86346652758788	1.72661222689221	0	0.669433016503523	0.817347196401111
RPN2	3	2	1	0.00930232558139535	0.00552486187845304	2.01111557202797	1.61761737911491	0	0.540123894642266	0.868415616608139
TAH11	3	3	0	0.013953488372093	0	1.81607513955084	1.7622893607299	0	0.739064642738923	0.795473846083224
chrII-1n	3	1	2	0.00465116279069767	0.0110497237569061	1.32017476185214	1.33555670766838	0	0.0908166643022651	0.204113016135326
chrII-3n	3	2	1	0.00930232558139535	0.00552486187845304	1.36014767232447	1.56471159176732	0	0.382560174019956	0.262388395418761
chrXV-3n	3	2	1	0.00930232558139535	0.00552486187845304	1.70965997772879	1.83007843676844	0	0.805031446540881	0.744290665381349
BCH2	2	0	2	0	0.0110497237569061	1.61942060898134	1.49599324940567	1	0.429280749042417	0.452695724023962
CAT8	2	0	2	0	0.0110497237569061	1.81992877531071	1.70051538537656	0	0.600439778692013	0.64542449907044
CTF3	2	0	2	0	0.0110497237569061	1.92473827833621	1.8234790909295	0	0.792310966094481	0.824795152516698
DLD3	2	0	2	0	0.0110497237569061	2.34000508473944	1.9383581508226	0	0.920839835437651	0.956827101838463
HIR3	2	0	2	0	0.0110497237569061	1.75950141034101	1.66169109732546	0	0.579302028656547	0.779831990635544
JEN1	2	0	2	0	0.0110497237569061	1.973362068618	1.86596167715412	0	0.866931479642503	0.86480066102045
LCB1	2	0	2	0	0.0110497237569061	1.93574566047247	1.81012027060509	0	0.765534118314655	0.831336500722991
MDN1	2	0	2	0	0.0110497237569061	2.01558726478464	1.83627787708405	0	0.801815860405731	0.84080424154789
NFT1	2	0	2	0	0.0110497237569061	2.04893703941139	1.61726274446353	0	0.506100156050504	0.887592095297115
NTH1	2	0	2	0	0.0110497237569061	1.58585457316057	1.64025615296563	1	0.543587742942261	0.601631894236728
PFK27	2	0	2	0	0.0110497237569061	1.66986235515387	1.67387745499815	0	0.599730458221024	0.707119741100324
ROG1	2	0	2	0	0.0110497237569061	1.84638932855962	1.66975822406583	0	0.555220598666478	0.725332231632583
SDA1	2	0	2	0	0.0110497237569061	2.09803127433784	2.03437884897649	1	0.947794013335225	0.880121187082559
SRP40	2	0	2	0	0.0110497237569061	1.53657925092567	1.55846562114087	0	0.411193077032203	0.538421813674861
TRE1	2	0	2	0	0.0110497237569061	1.93384957323874	1.70552590122438	0	0.597247836572564	0.845004475659299
TRZ1	2	0	2	0	0.0110497237569061	1.87049670913893	1.65749092757293	0	0.573521066817988	0.807374509398884
VID22	2	0	2	0	0.0110497237569061	1.63965967267426	1.63372293870577	0	0.487161299475103	0.460063347793156
YHL012W	2	0	2	0	0.0110497237569061	1.99851393694063	1.77366640836182	0	0.725138317491843	0.851063829787234
YHR078W	2	0	2	0	0.0110497237569061	2.04109874064914	1.83656014562233	0	0.769151652716697	0.831061075535358
chrXI-1n	1	0	1	0	0.00552486187845304	1.30989551190879	1.39394992444134	0	0.142147822386154	0.143083384975556
chrI-1n	1	1	0	0.00465116279069767	0	2.18077358891284	2.05757645824071	0	0.96581075329834	0.933484817186532
chrVIII-3n	1	0	1	0	0.00552486187845304	2.21825066326578	1.98975152558922	0	0.946659100581643	0.941678716518626
chrX-3n	1	1	0	0.00465116279069767	0	1.8594832600166	1.77555217633292	0	0.762306710171656	0.829856090339462
chrV-3n	1	1	0	0.00465116279069767	0	1.91943902884576	1.92625951018956	1	0.914526883245851	0.847621014941816
